SMILES,Density,id
*Nc1ccc(Cc2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)cc1,1.28,377
*CCCCCCNC(=O)CCC(C)CC(=O)N*,1.094,378
*CCCCCCCCNC(=O)Cc1ccc(CC(=O)N*)cc1,1.152,379
*NC1CC(C)(C)CC(C)(CNC(=O)CCCCC(*)=O)C1,1.08,380
*Cc1cccc(CNC(=O)CCCCC(=O)N*)c1,1.22,381
*Cc1ccc(CNC(=O)CCCCCCCCCCC(=O)N*)cc1,1.129,382
*Cc1ccc(CNC(=O)CCCCCCCCCCCCCC(=O)N*)cc1,1.09,383
*Cc1ccc(CNC(=O)CCCCCCCCC(=O)N*)cc1,1.1605,384
*Cc1ccc(CNC(=O)CCCCCCCCCCCC(=O)N*)cc1,1.108,385
*Cc1ccc(CNC(=O)CCCCCCCCCC(=O)N*)cc1,1.13,386
*NC(C)(C)CC(*)=O,1.11,387
*Nc1cccc2c(NC(=O)c3cccc(C(*)=O)c3)cccc12,1.34,388
*Nc1cccc2c(NC(=O)c3ccc(C(*)=O)cc3)cccc12,1.38,389
*CCCCCCCCCCCCCCCCCCNC(=O)Cc1ccc(CC(=O)N*)cc1,1.036,390
*CCCCCCCCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,1.08,391
*Nc1cccc(NC(=O)c2cccc(C(*)=O)c2)c1,1.38,392
*Nc1ccc(NC(=O)c2cccc(C(*)=O)c2)cc1,1.331,393
*Nc1cccc(NC(=O)c2ccc(C(*)=O)cc2)c1,1.36,394
*Nc1ccc(NC(=O)c2ccc(C(*)=O)cc2)cc1,1.45,395
*Nc1ccc(-c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,1.46,396
*CCCCCCCCCCCCNC(=O)c1ccc(C(=O)N*)cc1,1.152,397
*CCCCCCCCCNC(=O)c1ccc(C(=O)N*)cc1,1.154,398
*Nc1ccc(Cc2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,1.19,399
*CCCCCCCCNC(=O)CCCCCCC(=O)N*,1.109,400
*CC(=O)N*,1.605,401
*NC(CCC(=O)OC)C(*)=O,1.31,402
*C(=O)CCCCCCCCC(=O)N1CCN(*)CC1,0.9261,403
*CCCCCCCCCCN1CCN(C(=O)CCCCCCCCC(=O)N2CCN(*)CC2)CC1,0.9709,404
*CCCCCCCCCCNC(=O)CCCCCCCC(=O)N*,0.9867,405
*C(=O)N(*)CCCC,1.035,406
*CC(C)(C)C(=O)N*,1.224,407
*NC(C)CC(*)=O,1.2285,408
*CCCC(=O)N*,1.3135,409
*CCCC(C)CC(=O)N*,1.085,410
*CCCCC(=O)N*,1.2,411
*CNC(=O)CCCCC(=O)N*,1.31,412
*CNC(=O)CCCCCCCCC(=O)N*,1.19,413
