SMILES,Density,id
*C(=O)Oc1ccc(C2(c3ccc(OC(=O)c4ccc(C5(c6ccc(*)cc6)OC(=O)c6ccccc65)cc4)cc3)OC(=O)c3ccccc32)cc1,1.215,10364
*c1ccc(C(=O)c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,1.342,10365
*c1ccc(-c2cnc3ccc(C(=O)c4ccc5ncc(*)nc5c4)cc3n2)cc1,1.219,10366
*C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc(C4(c5ccc(*)cc5)OC(=O)c5ccccc54)cc3)cc2)cc1,1.22,10367
*c1ccc(Oc2ccc(-c3cc(-c4ccc(Oc5ccc(-c6cc(*)nc7ccccc67)cc5)cc4)c4ccccc4n3)cc2)cc1,1.144,10368
*Nc1ccc(NC(=O)c2ccc(C(*)=O)cc2)cc1,1.319,10369
*c1ccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)cc1,1.2797622975,10370
*c1ccc(-c2cnc3ccc(S(=O)c4ccc5ncc(*)nc5c4)cc3n2)cc1,1.251,10371
*c1ccc(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)cc1,1.291207521,10372
*c1ccc(-c2nc3ccc(Oc4ccc5nc(*)c(-c6ccccc6)c(-c6ccccc6)c5c4)cc3c(-c3ccccc3)c2-c2ccccc2)cc1,1.095,10373
*c1ccc(Oc2ccc(-c3nc4ccccc4c(-c4ccc(Oc5ccc(-c6c(-c7ccccc7)c(*)nc7ccccc67)cc5)cc4)c3-c3ccccc3)cc2)cc1,1.053,10374
*c1ccc(-c2ccc(-c3nc4ccc(Oc5ccc6nc(*)c(-c7ccccc7)c(-c7ccccc7)c6c5)cc4c(-c4ccccc4)c3-c3ccccc3)cc2)cc1,1.043,10375
*c1ccc(Oc2ccc(-c3cnc4cc5ncc(*)nc5cc4n3)cc2)cc1,1.223,10376
*c1ccc(-c2nc3cc(-c4ccc5nc(-c6ccccc6)c(*)nc5c4)ccc3nc2-c2ccccc2)cc1,1.0707293070000001,10377
*c1ccc(-c2cnc3ccc(-c4ccc5ncc(*)nc5c4)cc3n2)cc1,1.178,10378
*C(=O)Nc1ccc(C2(c3ccc(NC(=O)c4ccc(C5(c6ccc(*)cc6)OC(=O)c6ccccc65)cc4)cc3)OC(=O)c3ccccc32)cc1,1.198,10379
*c1ccc(-c2nc3cc4nc(*)c(-c5ccccc5)nc4cc3nc2-c2ccccc2)cc1,1.1,10380
*c1cccc(-c2nc3cc4nc(*)c(-c5ccccc5)nc4cc3nc2-c2ccccc2)c1,1.077,10381
*Oc1ccc(-n2c(=O)c3cc4c(=O)n(-c5ccc(*)cc5)c(=O)c4cc3c2=O)cc1,1.285,10382
*C(=O)Nc1ccc(C2(c3ccc(NC(=O)c4ccc(C5(c6ccc(*)cc6)OC(=O)c6ccccc65)cc4)cc3)NC(=O)c3ccccc32)cc1,1.19,10383
*C(=O)c1ccc(-n2c(=O)c3cc4c(=O)n(-c5ccc(*)cc5)c(=O)c4cc3c2=O)cc1,1.268,10384
*CC*,0.837971504,35631
*CC(*)C,0.83573244,35632
*CC(*)CC,0.833803273,35633
*CC(*)CCC,0.82434244,35634
*CC(*)C(C)C,0.809481605,35635
*CC(*)CCCC,0.825542476,35636
*CC(*)CC(C)C,0.822248085,35637
*CC(*)CCCCC,0.826026958,35638
*CC(*)CCC(C)CC,0.835027112,35639
*CC(*)CCCCCCC,0.830236127,35640
*CC(*)CCCCCCCC,0.830808762,35641
*CC(*)(C)C,0.87060676,35642
*CC(*)(C)CC,0.844525133,35643
*CCC(*)(C)C,0.831834985,35644
*CC(C)C(*)(C)C,0.836805812,35645
*CCCC(*)(C)C,0.829420011,35646
*CCCC(*)(C)CC,0.827575347,35647
*CCCCCCCC(*)C,0.838285169,35648
*CC(*)C1CC1,0.894720922,35649
*CC(*)C1CCC1,0.890516521,35650
*CC(*)C1CCCC1,0.896070041,35651
*CC(*)CC1CCCC1,0.89707436,35652
*CC(*)C1CCCCC1,0.852752091,35653
*CC(*)CC1CCCCC1,0.876520821,35654
*CC(*)Cc1ccccc1,1.008541193,35655
*CC(*)CCc1ccccc1,1.000097037,35656
*CC(*)C(C)c1ccccc1,0.950614435,35657
*CC1CCC(*)C1,0.930004498,35658
*CC(*)CCCCCC,0.829569461,35659
*CC(*)CCCCCCCCCC,0.831539982,35660
*CC(*)CCCCCCCCCCCC,0.83325233,35661
*CC(*)CCCCCCCCCCCCCCCC,0.833313341,35662
*CC(*)C(C)CC,0.810410007,35663
*CC(*)C(CC)CC,0.81481654,35664
*CC(*)CC(CC)CC,0.829919646,35665
*CC(*)CC(C)CC,0.825624108,35666
*CC(*)CC(C)(C)C,0.817611089,35667
*CC(*)CC(C)(C)CC,0.836728393,35668
*CC(*)CCCC(C)(C)C,0.818440434,35669
*CC(*)CCC1CCCCC1,0.887375098,35670
*CC(*)CCCC1CCCCC1,0.882254928,35671
*CC1(*)CCC(C)CC1,0.85730737,35672
